
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 3215 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

3215 species included in the data set
2580 species have a single occurrence, 44 species are extant
4828 fossil occurrences (1 replicates), ranging from 307.605 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aafrita_biladalshama	129.389	126.829	
Abraracourcix_curvivenatus	52.392	52.392	
Abrocossus_longus	159.851	159.851	
Absoluta_distincta	192.962	192.962	
Absoluta_elongata	195.503	195.219	
Acanthocephalonotum_martinsnetoi	46.425	46.425	
Acanthochermes_longirostris	33.993	33.993	
Acanthosoma	12.206	12.206	
Acanthosoma_debile	31.048	31.048	
Acanthosoma_joursacensis	11.54	11.54	
Acanthosoma_livida	12.622	12.622	
Acanthosoma_maculata	12.628	12.628	
Acanthosoma_morloti	12.281	11.708	
Acanthosomatidae	44.112	17.3	
Acanthotrichaphis_paulisensoriata	116.196	114.43	
Acaricoris_robertae	14.664	14.664	
Achrestocoris_cinerarius	35.962	35.962	
Acixiites_costalis	114.638	114.638	
Acixiites_immodesta	112.274	112.274	
Acocephalites_breddini	126.621	126.621	
Acocephalus_adae	47.471	47.471	
Acocephalus_callosus	34.605	34.605	
Acocephalus_crassiusculus	11.977	11.977	
Acocephalus_curtulus	11.885	11.885	
Acromocoris_angustus	182.976	182.735	
Acromocoris_similis	182.896	182.896	
Actinoscytina_belmontensis	252.622	252.622	
Adelges	3.571	3.571	
Adelges_(Adelges)_balticus	37.704	37.704	
Adelocoris_ambiguus	182.534	182.534	
Aelia_obsoleta	11.707	11.707	
Aenictobelostoma_primitivum	164.622	164.622	
Aethalion_oligocaenica	23.298	23.298	
Afrostenovicia_reidae	253.972	253.972	
Agallia_abstructa	35.668	35.668	
Agallia_flaccida	35.338	35.338	
Agallia_instabilis	34.033	34.033	
Agallia_lewisii	36.756	34.939	
Agonoscena_marmorea	15.652	15.652	
Agramma_tertiarium	12.619	12.619	
Aidium_pleurale	157.476	157.476	
Aixaphis_oligocenica	23.372	23.372	
Akmazeina_santonorum	100.357	100.357	
Alacrena_peculiaris	94.133	94.133	
Alavametra_popovi	109.843	109.843	
Alavesiaphis_margaritae	110.516	110.516	
Albertaphis_longirostris	79.88	79.88	
Albicoccus_dimai	97.385	97.385	
Aleurodicinae	51.806	51.806	
Aleurodicus_burmiticus	95.936	95.936	
Aleuronympha_bibulla	253.283	252.721	
Aleyrodidae	125.645	35.429	
Aleyrodoidea	127.38	4.811	
Alicodoxa_rasnitsyni	36.418	36.418	
Alienates	19.269	19.269	
Alienates_brodzinskyi	16.074	16.074	
Alienates_electrodominicus	15.844	15.844	
Alloambria_caudata	77.55	77.55	
