"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"293776","occ","","","28006","Heteroptera","suborder","70516","Late Barremian","","130","125.45","7671"
"293782","occ","","","28006","Notonectidae","family","71385","Late Barremian","","130","125.45","7671"
"293783","occ","","","28006","Naucoridae","family","183684","Late Barremian","","130","125.45","7671"
"293784","occ","","","28006","Velocorixinae","subfamily","193442","Late Barremian","","130","125.45","7671"
"351576","occ","","","115717","Karanabis kiritshenkoi","species","279283","Callovian","Oxfordian","166.1","157.3","48346"
"351579","occ","","","31311","Asionecta curtipes","species","279279","Callovian","Oxfordian","166.1","157.3","48345"
"406013","occ","","","39077","Eoscartarellidae","family","220846","Changhsingian","","254.17","252.17","40250"
"431405","occ","","","123458","Mindarus paratransparens","species","253107","Priabonian","","38","33.9","11229"
"516624","occ","","","50310","Hemiptera","order","94230","Berriasian","","145","139.8","14077"
"540521","occ","","","128550","Coreiopsis punctata","species","70519","Middle Miocene","","15.97","11.608","15208"
"610400","occ","","","65422","Homoptera","suborder","70506","Early Cenomanian","","99.6","93.5","18858"
"639472","occ","","","68835","Belostomatidae","family","71382","Aptian","","125","113","19874"
"781989","occ","","","84244","Tipuloidea rhaetica","species","212950","Carnian","","237","228","28223"
"793047","occ","","","86023","Saldonia maculata","species","227461","Callovian","Oxfordian","166.1","157.3","40706"
"839016","occ","","","93138","Hemiptera","order","94230","Kimmeridgian","Tithonian","157.3","145","31470"
"880126","occ","","","97616","Propentacora froeschneri","species","170259","Langhian","","15.97","13.82","33326"
"880139","occ","","","97619","Hymenarcys cridlandi","species","170256","Langhian","","15.97","13.82","33326"
"880140","occ","","","97619","Latahcoris spectatus","species","170284","Langhian","","15.97","13.82","33328"
"895614","occ","","","73687","Mesolygaeus","genus","237757","Aptian","","125","113","34144"
"913306","occ","","","103446","Ledrinae","subfamily","175504","Turonian","","93.9","89.8","34904"
"913412","occ","","","103480","Fletcheriana jurassica","species","175589","Early Sinemurian","","196.5","189.6","34917"
"913413","occ","","","103480","Plachutella exculpta","species","175592","Early Sinemurian","","196.5","189.6","34917"
"913414","occ","","","103480","Martynovocossus strenus","species","175594","Early Sinemurian","","196.5","189.6","34917"
"913939","occ","","","113371","Cicadocoris brunneus","species","216276","Callovian","Oxfordian","166.1","157.3","34960"
"913940","occ","","","103654","Palaeontinodes","genus","175922","Early Aptian","","125.45","122.46","34961"
"913941","occ","","","112664","Sinopalaeocossus eumorphus","species","175925","Callovian","Oxfordian","166.1","157.3","34962"
"913942","occ","","","113371","Martynovocossus punctulosus","species","175928","Callovian","Oxfordian","166.1","157.3","34967"
"913943","occ","","","113371","Suljuktocossus coloratus","species","175930","Callovian","Oxfordian","166.1","157.3","34963"
