"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","image_no","lng","lat"
"138745","occ","","","11798","Gomphotherium","genus","43247","Turolian","","8.7","5.333","10883","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","102.066666","25.016666"
"138746","occ","","","11798","Tetralophodon","genus","43261","Turolian","","8.7","5.333","4196","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Tetralophodon","1254","102.066666","25.016666"
"138747","occ","","","11798","Zygolophodon","genus","95509","Turolian","","8.7","5.333","10885","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon","1148","102.066666","25.016666"
"147930","occ","","","13060","Stegodon","genus","43271","Late Miocene","","11.608","5.333","4341","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon","1256","76.666664","31.533333"
"150057","occ","","","13293","Elephas","genus","43264","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","111.566666","22.766666"
"150058","occ","","","13293","Stegodon","genus","43271","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon","1256","111.566666","22.766666"
"150874","occ","","","13448","Stegodon","genus","43271","Late Pliocene","","3.6","2.588","6061","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon","1256","73.669998","32.990002"
"150875","occ","","","13447","Elephas","genus","43264","Quaternary","Middle Pleistocene","2.588","0.126","6062","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","77.834724","22.900000"
"150888","occ","","","13453","Elephas maximus","species","104147","Early Pleistocene","","2.588","0.781","6075","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","76.916664","30.733334"
"150889","occ","","","13454","Stegolophodon","genus","43272","Early Miocene","","23.03","15.97","6076","Chordata","Mammalia","Proboscidea","Stegodontidae","Stegolophodon","1148","134.233337","35.383331"
"150890","occ","","","13456","Elephas","genus","43264","Late Pleistocene","Holocene","0.126","0","6077","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","87.000000","23.500000"
"150918","occ","","","13471","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","6079","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1672","147.500000","71.000000"
"150924","occ","","","13472","Deinotheriidae","family","43279","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","72.366669","32.683334"
"150964","occ","","","13473","Deinotheriidae","family","43279","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","72.500000","32.766666"
"151011","occ","","","13474","Deinotheriidae","family","43279","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Proboscidea","Deinotheriidae","","1170","72.516670","33.633331"
"151449","occ","","","13490","Stegodon","genus","43271","Quaternary","Middle Pleistocene","2.588","0.126","6106","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon","1256","35.599998","33.000000"
"151450","occ","","","13490","Elephas","genus","43264","Quaternary","Middle Pleistocene","2.588","0.126","10567","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","35.599998","33.000000"
"151807","occ","","","13487","Elephas","genus","43264","Pleistocene","","2.588","0.0117","6122","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","78.116669","8.750000"
"157315","occ","","","13948","Cuvieronius tropicus","species","45650","Pleistocene","","2.588","0.0117","6175","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius","1254","-97.900002","18.616667"
"157317","occ","","","13949","Mammuthus","genus","43266","Pleistocene","","2.588","0.0117","6175","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1672","-97.900002","18.616667"
"160745","occ","","","14150","Elephas","genus","43264","Early Pleistocene","","2.588","0.781","6256","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","79.816666","8.283333"
"160746","occ","","","14150","Elephas","genus","43264","Early Pleistocene","","2.588","0.781","6256","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","1672","79.816666","8.283333"
"184078","occ","","","18027","Gomphotheriidae","family","43240","Barstovian","","15.97","13.6","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-100.000000","42.700001"
"184087","occ","","","18029","Amebelodon","genus","43241","Miocene","","23.03","5.333","1003","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.199997","40.299999"
"184117","occ","5334","","18031","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-98.110001","42.490002"
"184137","occ","5341","","18033","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut","1187","-103.800003","42.400002"
"184138","occ","5342","","18033","Gomphotherium","genus","43247","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-103.800003","42.400002"
"184150","occ","5348","","18034","Gomphotherium obscurum","species","47940","Hemphillian","","10.3","4.9","6247","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-99.800003","36.099998"
"184165","occ","","","18035","Gnathabelodon thorpei","species","46671","Miocene","","23.03","5.333","1003","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon","1254","-99.900002","39.000000"
"184240","occ","","","18046","Gomphotheriidae","family","43240","Hemphillian","","10.3","4.9","2228","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-99.900002","37.200001"
"184253","occ","","","18054","Amebelodon","genus","43241","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-100.800003","42.799999"
"184282","occ","","","18061","Gomphotherium","genus","43247","Clarendonian","","13.6","10.3","3564","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium","1255","-100.800003","42.799999"
"184316","occ","","","18063","Amebelodon","genus","43241","Clarendonian","","13.6","10.3","1720","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon","1254","-101.800003","43.200001"
"184352","occ","","","18066","Gomphotheriidae","family","43240","Late Clarendonian","","13.6","10.3","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","","1254","-98.097397","42.386299"
"184368","occ","5421","","18067","Mammutidae","family","43273","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Mammutidae","","1148","-100.800003","42.799999"
