"accepted_name","accepted_rank","max_ma","min_ma","family","genus","lng","lat"
"Gomphotherium","genus","8.7","5.333","Gomphotheriidae","Gomphotherium","102.066666","25.016666"
"Tetralophodon","genus","8.7","5.333","Gomphotheriidae","Tetralophodon","102.066666","25.016666"
"Zygolophodon","genus","8.7","5.333","Mammutidae","Zygolophodon","102.066666","25.016666"
"Stegodon","genus","11.608","5.333","Elephantidae","Stegodon","76.666664","31.533333"
"Elephas","genus","0.781","0.0117","Elephantidae","Elephas","111.566666","22.766666"
"Stegodon","genus","0.781","0.0117","Elephantidae","Stegodon","111.566666","22.766666"
"Stegodon","genus","3.6","2.588","Elephantidae","Stegodon","73.669998","32.990002"
"Elephas","genus","2.588","0.126","Elephantidae","Elephas","77.834724","22.900000"
"Elephas maximus","species","2.588","0.781","Elephantidae","Elephas","76.916664","30.733334"
"Stegolophodon","genus","23.03","15.97","Stegodontidae","Stegolophodon","134.233337","35.383331"
"Elephas","genus","0.126","0","Elephantidae","Elephas","87.000000","23.500000"
"Mammuthus","genus","0.126","0.0117","Elephantidae","Mammuthus","147.500000","71.000000"
"Deinotheriidae","family","15.97","11.608","Deinotheriidae","","72.366669","32.683334"
"Deinotheriidae","family","11.608","5.333","Deinotheriidae","","72.500000","32.766666"
"Deinotheriidae","family","11.608","5.333","Deinotheriidae","","72.516670","33.633331"
"Stegodon","genus","2.588","0.126","Elephantidae","Stegodon","35.599998","33.000000"
"Elephas","genus","2.588","0.126","Elephantidae","Elephas","35.599998","33.000000"
"Elephas","genus","2.588","0.0117","Elephantidae","Elephas","78.116669","8.750000"
"Cuvieronius tropicus","species","2.588","0.0117","Gomphotheriidae","Cuvieronius","-97.900002","18.616667"
"Mammuthus","genus","2.588","0.0117","Elephantidae","Mammuthus","-97.900002","18.616667"
"Elephas","genus","2.588","0.781","Elephantidae","Elephas","79.816666","8.283333"
"Elephas","genus","2.588","0.781","Elephantidae","Elephas","79.816666","8.283333"
"Gomphotheriidae","family","15.97","13.6","Gomphotheriidae","","-100.000000","42.700001"
"Amebelodon","genus","23.03","5.333","Gomphotheriidae","Amebelodon","-100.199997","40.299999"
"Tetrabelodon osborni","species","15.97","13.6","Gomphotheriidae","Gomphotherium","-98.110001","42.490002"
"Mammut matthewi","species","10.3","4.9","Mammutidae","Mammut","-103.800003","42.400002"
"Gomphotherium","genus","10.3","4.9","Gomphotheriidae","Gomphotherium","-103.800003","42.400002"
"Gomphotherium obscurum","species","10.3","4.9","Gomphotheriidae","Gomphotherium","-99.800003","36.099998"
"Gnathabelodon thorpei","species","23.03","5.333","Gomphotheriidae","Gnathabelodon","-99.900002","39.000000"
"Gomphotheriidae","family","10.3","4.9","Gomphotheriidae","","-99.900002","37.200001"
"Amebelodon","genus","13.6","10.3","Gomphotheriidae","Amebelodon","-100.800003","42.799999"
"Gomphotherium","genus","13.6","10.3","Gomphotheriidae","Gomphotherium","-100.800003","42.799999"
"Amebelodon","genus","13.6","10.3","Gomphotheriidae","Amebelodon","-101.800003","43.200001"
"Gomphotheriidae","family","13.6","10.3","Gomphotheriidae","","-98.097397","42.386299"
"Mammutidae","family","15.97","13.6","Mammutidae","","-100.800003","42.799999"
"Amebelodon fricki","species","10.3","4.9","Gomphotheriidae","Amebelodon","-100.099998","36.099998"
"Gomphotheriidae","family","10.3","4.9","Gomphotheriidae","","-101.500000","33.700001"
"Gomphotherium obscurum","species","13.6","10.3","Gomphotheriidae","Gomphotherium","-100.800003","35.000000"
"Tetrabelodon osborni","species","13.6","10.3","Gomphotheriidae","Gomphotherium","-100.800003","42.799999"
"Gomphotherium","genus","13.6","10.3","Gomphotheriidae","Gomphotherium","-100.800003","42.799999"
"Gomphotheriidae","family","23.03","5.333","Gomphotheriidae","","-101.800003","43.200001"
"Gomphotherium","genus","13.6","10.3","Gomphotheriidae","Gomphotherium","-99.699997","42.799999"
"Amebelodon fricki","species","10.3","4.9","Gomphotheriidae","Amebelodon","-100.500000","40.500000"
"Gomphotheriidae","family","10.3","4.9","Gomphotheriidae","","-99.800003","36.099998"
"Gomphotherium","genus","15.97","13.6","Gomphotheriidae","Gomphotherium","-100.000000","42.700001"
"Gomphotheriidae","family","13.6","10.3","Gomphotheriidae","","-98.000000","42.599998"
"Rhynchotherium","genus","10.3","4.9","Gomphotheriidae","Rhynchotherium","-101.300003","35.000000"
"Gomphotheriidae","family","13.6","10.3","Gomphotheriidae","","-101.900002","35.400002"
"Rhynchotherium","genus","10.3","4.9","Gomphotheriidae","Rhynchotherium","-100.199997","35.900002"
"Gomphotheriidae","family","23.03","5.333","Gomphotheriidae","","-100.099998","36.099998"
"Gomphotheriidae","family","13.6","10.3","Gomphotheriidae","","-101.500000","33.700001"
"Gomphotherium","genus","13.6","10.3","Gomphotheriidae","Gomphotherium","-100.800003","42.799999"
"Rhynchotherium","genus","10.3","4.9","Gomphotheriidae","Rhynchotherium","-101.900002","35.000000"
"Gomphotheriidae","family","23.03","5.333","Gomphotheriidae","","-100.699997","43.200001"
"Gomphotherium","genus","15.97","13.6","Gomphotheriidae","Gomphotherium","-101.800003","43.200001"
"Gomphotheriidae","family","15.97","13.6","Gomphotheriidae","","-100.800003","42.799999"
"Gomphotherium","genus","15.97","13.6","Gomphotheriidae","Gomphotherium","-100.000000","42.700001"
