"150888","occ","","","13453","Elephas maximus","species","104147","Early Pleistocene","","2.588","0.781","6075","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"157315","occ","","","13948","Cuvieronius tropicus","species","45650","Pleistocene","","2.588","0.0117","6175","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"184117","occ","5334","","18031","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"184137","occ","5341","","18033","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"184150","occ","5348","","18034","Gomphotherium obscurum","species","47940","Hemphillian","","10.3","4.9","6247","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"184165","occ","","","18035","Gnathabelodon thorpei","species","46671","Miocene","","23.03","5.333","1003","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon"
"184391","occ","","","18072","Amebelodon fricki","species","43966","Hemphillian","","10.3","4.9","6208","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"184426","occ","5441","","18074","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"184456","occ","5452","","18077","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"184543","occ","","","18086","Amebelodon fricki","species","43966","Hemphillian","","10.3","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"185082","occ","","","18147","Eubelodon morrilli","species","46347","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon"
"185191","occ","5663","","18164","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"185374","occ","5718","","18192","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"185422","occ","5737","","18198","Amebelodon floridanus","species","47934","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"185502","occ","","","18204","Eubelodon morrilli","species","46347","Clarendonian","","13.6","10.3","6193","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon"
"185516","occ","5758","","18206","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"185599","occ","5782","","18209","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"185874","occ","5856","","18236","Serbelodon barbourensis","species","51515","Clarendonian","Hemphillian","13.6","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"186047","occ","5888","","18255","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186117","occ","5905","","18263","Platybelodon loomisi","species","52405","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon"
"186221","occ","5936","","18275","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186316","occ","5975","","18284","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186370","occ","5989","","18295","Serbelodon barbourensis","species","51515","Clarendonian","Hemphillian","13.6","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"186463","occ","","","18305","Amebelodon fricki","species","43966","Clarendonian","Hemphillian","13.6","4.9","3510","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"186477","occ","6021","","18307","Amebelodon britti","species","43963","Miocene","","23.03","5.333","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"186586","occ","6053","","18321","Platybelodon barnumbrowni","species","52404","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon"
"186594","occ","6055","","18323","Mammut matthewi","species","47937","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"186711","occ","6078","","18334","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186740","occ","6086","","18342","Amebelodon britti","species","43963","Hemphillian","","10.3","4.9","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"186792","occ","6099","","18349","Tetrabelodon osborni","species","52204","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186798","occ","6102","","18350","Tetrabelodon osborni","species","52204","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"186955","occ","6148","","18375","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187127","occ","6196","","18416","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187128","occ","6197","","18417","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187135","occ","6199","","18423","Platybelodon loomisi","species","52405","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Platybelodon"
"187156","occ","6209","","18426","Gomphotherium obscurum","species","47940","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187160","occ","","","18428","Eubelodon morrilli","species","46347","Clarendonian","","13.6","10.3","3174","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Eubelodon"
"187241","occ","6231","","18442","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187572","occ","6354","","18495","Amebelodon floridanus","species","47934","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"187600","occ","6364","","18496","Serbelodon barbourensis","species","51515","Clarendonian","","13.6","10.3","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Serbelodon"
"187652","occ","6382","","18505","Mammut matthewi","species","47937","Serravallian","","13.82","11.62","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"187674","occ","6388","","18509","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187711","occ","6400","","18518","Gomphotherium obscurum","species","47940","Serravallian","","13.82","11.62","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187721","occ","6406","","18519","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"187753","occ","6420","","18530","Amebelodon floridanus","species","47934","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"187992","occ","6520","","18564","Amebelodon britti","species","43963","Hemphillian","","10.3","4.9","2200","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Amebelodon"
"188203","occ","6591","","18599","Mammut matthewi","species","47937","Late Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"188285","occ","","","18611","Gnathabelodon buckneri","species","46670","Clarendonian","","13.6","10.3","3098","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gnathabelodon"
"188330","occ","6645","","18618","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188350","occ","6652","","18619","Gomphotherium obscurum","species","47940","Barstovian","","15.97","13.6","3433","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188708","occ","6768","","18703","Gomphotherium obscurum","species","47940","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188729","occ","","","18716","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","2293","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188742","occ","","","18720","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","3575","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188846","occ","6814","","18739","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188861","occ","","","18741","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","3575","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188882","occ","6825","","18746","Cuvieronius tropicus","species","45650","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Cuvieronius"
"188883","occ","6826","","18746","Gomphotherium obscurum","species","47940","Hemphillian","","10.3","4.9","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"188902","occ","6833","","18750","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"188907","occ","6836","","18751","Rhynchotherium blicki","species","44575","Miocene","","23.03","5.333","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Rhynchotherium"
"189011","occ","6882","","18761","Tetrabelodon osborni","species","52204","Barstovian","","15.97","13.6","6294","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"189171","occ","","","18799","Mastodon proavus","species","47942","Barstovian","","15.97","13.6","2394","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
"189339","occ","","","18824","Mammut furlongi","species","47867","Miocene","","23.03","5.333","3119","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut"
