"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus"
"138745","occ","","","11798","Gomphotherium","genus","43247","Turolian","","8.7","5.333","10883","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Gomphotherium"
"138746","occ","","","11798","Tetralophodon","genus","43261","Turolian","","8.7","5.333","4196","Chordata","Mammalia","Proboscidea","Gomphotheriidae","Tetralophodon"
"138747","occ","","","11798","Zygolophodon","genus","95509","Turolian","","8.7","5.333","10885","Chordata","Mammalia","Proboscidea","Mammutidae","Zygolophodon"
"147930","occ","","","13060","Stegodon","genus","43271","Late Miocene","","11.608","5.333","4341","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon"
"150057","occ","","","13293","Elephas","genus","43264","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"150058","occ","","","13293","Stegodon","genus","43271","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon"
"150874","occ","","","13448","Stegodon","genus","43271","Late Pliocene","","3.6","2.588","6061","Chordata","Mammalia","Proboscidea","Elephantidae","Stegodon"
"150875","occ","","","13447","Elephas","genus","43264","Quaternary","Middle Pleistocene","2.588","0.126","6062","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"150888","occ","","","13453","Elephas maximus","species","104147","Early Pleistocene","","2.588","0.781","6075","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"150889","occ","","","13454","Stegolophodon","genus","43272","Early Miocene","","23.03","15.97","6076","Chordata","Mammalia","Proboscidea","Stegodontidae","Stegolophodon"
"150890","occ","","","13456","Elephas","genus","43264","Late Pleistocene","Holocene","0.126","0","6077","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas"
"150918","occ","","","13471","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","6079","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus"
"150924","occ","","","13472","Deinotheriidae","family","43279","Middle Miocene","","15.97","11.608","6080","Chordata","Mammalia","Proboscidea","Deinotheriidae",""
"150964","occ","","","13473","Deinotheriidae","family","43279","Late Miocene","","11.608","5.333","6080","Chordata","Mammalia","Proboscidea","Deinotheriidae",""
