Species	Status	min_age	max_age
Heteroptera	extinct	125.45	130
Notonectidae	extinct	125.45	130
Naucoridae	extinct	125.45	130
Velocorixinae	extinct	125.45	130
Karanabis_kiritshenkoi	extinct	157.3	166.1
Asionecta_curtipes	extinct	157.3	166.1
Eoscartarellidae	extinct	252.17	254.17
Mindarus_paratransparens	extinct	33.9	38
Hemiptera	extinct	139.8	145
Coreiopsis_punctata	extinct	11.608	15.97
Homoptera	extinct	93.5	99.6
Belostomatidae	extinct	113	125
Tipuloidea_rhaetica	extinct	228	237
Saldonia_maculata	extinct	157.3	166.1
Hemiptera	extinct	145	157.3
Propentacora_froeschneri	extinct	13.82	15.97
Hymenarcys_cridlandi	extinct	13.82	15.97
Latahcoris_spectatus	extinct	13.82	15.97
Mesolygaeus	extinct	113	125
Ledrinae	extinct	89.8	93.9
Fletcheriana_jurassica	extinct	189.6	196.5
Plachutella_exculpta	extinct	189.6	196.5
Martynovocossus_strenus	extinct	189.6	196.5
Cicadocoris_brunneus	extinct	157.3	166.1
Palaeontinodes	extinct	122.46	125.45
Sinopalaeocossus_eumorphus	extinct	157.3	166.1
Martynovocossus_punctulosus	extinct	157.3	166.1
Suljuktocossus_coloratus	extinct	157.3	166.1
Sinopalaeocossus_fangi	extinct	157.3	166.1
Ningchengia_minuta	extinct	157.3	166.1
Palaeontinodes_shabarovi	extinct	157.3	166.1
Palaeontinodes_reshuitangensis	extinct	157.3	166.1
Plachutella_magica	extinct	157.3	166.1
Palaeontinodes_daohugouensis	extinct	157.3	166.1
Palaeontinodes_locellus	extinct	157.3	166.1
Palaeontinodes_separatus	extinct	157.3	166.1
Suljuktocossus_chifengensis	extinct	157.3	166.1
Abrocossus_longus	extinct	157.3	166.1
Neimenggucossus_normalis	extinct	157.3	166.1
Martynovocossus_bellus	extinct	157.3	166.1
Martynovocossus_decorus	extinct	157.3	166.1
Martynovocossus_cheni	extinct	157.3	166.1
Suljuktocossus_yinae	extinct	157.3	166.1
Ningchengia_aspera	extinct	157.3	166.1
Daohugoucossus_shii	extinct	157.3	166.1
Daohugoucossus_parallelivenius	extinct	157.3	166.1
Daohugoucossus_lii	extinct	157.3	166.1
Gansucossus_typicus	extinct	157.3	166.1
Daohugoucossus_solutus	extinct	157.3	166.1
Jurocercopis_grandis	extinct	157.3	166.1
Shuraboprosbole_daohugouensis	extinct	157.3	166.1
Shuraboprosbole_minuta	extinct	157.3	166.1
Shuraboprosbole_media	extinct	157.3	166.1
Sinopalaeocossus_longicaulis	extinct	157.3	166.1
Sinopalaeocossus_laevis	extinct	157.3	166.1
Martynovocossus_ancylivenius	extinct	157.3	166.1
Archescytina_pusilla	extinct	272.5	279.5
Membracidae	extinct	0.0117	0.126
Originicorizus_pyriformis	extinct	157.3	166.1
Quatlocellus_liae	extinct	157.3	166.1
Grandicaputus_bipunctatus	extinct	157.3	166.1
Miracorizus_punctatus	extinct	157.3	166.1
Longiclavula_calvata	extinct	157.3	166.1
Cercopoidea	extinct	47.8	56
Cicadellidae	extinct	47.8	56
Cixiidae	extinct	47.8	56
Ricaniidae	extinct	47.8	56
Aphididae	extinct	47.8	56
Gerridae	extinct	47.8	56
Megymeninae	extinct	47.8	56
Cydnidae	extinct	47.8	56
Pentatomidae	extinct	47.8	56
Archescytinidae	extinct	208.5	228
Belostomatidae	extinct	208.5	228
Naucoridae	extinct	208.5	228
Parapermopsylla_tricubita	extinct	279.3	290.1
Permopsylla_americana	extinct	279.3	290.1
Cicadocoris_minutus	extinct	190.8	201.3
Olgamartynovia_parallela	extinct	190.8	201.3
Cicadocoris_confinis	extinct	190.8	201.3
Cicadocoris_arcuatus	extinct	190.8	201.3
Cicadocoris_complexus	extinct	190.8	201.3
Cicadocoris_conjunctus	extinct	190.8	201.3
Progonocimicidae	extinct	190.8	201.3
Cicadocoris_frater	extinct	190.8	201.3
Olgamartynovia_parallela	extinct	190.8	201.3
Cicadocoris_affinis	extinct	190.8	201.3
Cicadocoris_turanicus	extinct	190.8	201.3
Progonocimicidae	extinct	190.8	201.3
Cicadocoris_sogjutensis	extinct	190.8	201.3
Progonocimicidae	extinct	190.8	201.3
Cicadocoris_complexus	extinct	190.8	201.3
Progonocimicidae	extinct	190.8	201.3
Cicadocoris_ignoratus	extinct	190.8	201.3
Progonocimicidae	extinct	190.8	201.3
Cicadocoris_confinis	extinct	190.8	201.3
Cicadocoris_similis	extinct	190.8	201.3
Cicadocoris_arcuatus	extinct	190.8	201.3
