Species	Status
Aafrita_biladalshama	extinct
Abraracourcix_curvivenatus	extinct
Abrocossus_longus	extinct
Absoluta_distincta	extinct
Absoluta_elongata	extinct
Acanthocephalonotum_martinsnetoi	extinct
Acanthochermes_longirostris	extinct
Acanthosoma	extinct
Acanthosoma_debile	extinct
Acanthosoma_joursacensis	extinct
Acanthosoma_livida	extinct
Acanthosoma_maculata	extinct
Acanthosoma_morloti	extinct
Acanthosomatidae	extinct
Acanthotrichaphis_paulisensoriata	extinct
Acaricoris_robertae	extinct
Achrestocoris_cinerarius	extinct
Acixiites_costalis	extinct
Acixiites_immodesta	extinct
Acocephalites_breddini	extinct
Acocephalus_adae	extinct
Acocephalus_callosus	extinct
Acocephalus_crassiusculus	extinct
Acocephalus_curtulus	extinct
Acromocoris_angustus	extinct
Acromocoris_similis	extinct
Actinoscytina_belmontensis	extinct
Adelges	extinct
Adelges_(Adelges)_balticus	extinct
Adelocoris_ambiguus	extinct
Aelia_obsoleta	extinct
Aenictobelostoma_primitivum	extinct
Aethalion_oligocaenica	extinct
Afrostenovicia_reidae	extinct
Agallia_abstructa	extinct
Agallia_flaccida	extinct
Agallia_instabilis	extinct
Agallia_lewisii	extinct
Agonoscena_marmorea	extinct
Agramma_tertiarium	extinct
Aidium_pleurale	extinct
Aixaphis_oligocenica	extinct
Akmazeina_santonorum	extinct
Alacrena_peculiaris	extinct
Alavametra_popovi	extinct
Alavesiaphis_margaritae	extinct
Albertaphis_longirostris	extinct
Albicoccus_dimai	extinct
Aleurodicinae	extinct
Aleurodicus_burmiticus	extinct
Aleuronympha_bibulla	extinct
Aleyrodidae	extinct
Aleyrodoidea	extinct
Alicodoxa_rasnitsyni	extinct
Alienates	extinct
Alienates_brodzinskyi	extinct
Alienates_electrodominicus	extinct
Alloambria_caudata	extinct
Alloambria_infelicis	extinct
Alloambria_phoenicis	extinct
Allocalisius_spiniventris	extinct
Allocercopis	extinct
Allocercopis_punctatis	extinct
Alumeda_antilliana	extinct
Alumeda_dominicana	extinct
Alumeda_nigricans	extinct
Alumeda_solorzanokraemerae	extinct
Alydidae	extinct
Alydus_pristinus	extinct
Alydus_pulchellus	extinct
Amagua_fortis	extinct
Amalaberga_ostrogothiorum	extinct
Ambaraphis_costalis	extinct
Ambaraphis_kotejai	extinct
Ambarcader_eugenei	extinct
Ambercylapus_nigrus	extinct
Ambericarda_skalskii	extinct
Amberobrysa_brandti	extinct
Amberofulvius_dentatus	extinct
Ambocylapus_kulickae	extinct
Ambopemphigus_romani	extinct
Americaphis_longipes	extinct
Amnestus_electricus	extinct
Amnestus_guapinolinus	extinct
Amnestus_priscus	extinct
Amphibolus_disponsi	extinct
Anacoloptera_trigonalis	extinct
Anaprosbole_ivensis	extinct
Anasa_priscoputida	extinct
Anconatus_dorsuosus	extinct
Anconatus_niger	extinct
Ancorale	extinct
Ancorale_aschemon	extinct
Ancorale_flaccidum	extinct
Aneurus	extinct
Aneurus_(Aneurodellus)_goitschenus	extinct
Aneurus_(Aneurus)_ancestralis	extinct
Aneurus_(Aneurus)_groehni	extinct
Aneurus_(Neaneurosoma)_kotashevichi	extinct
Aneurus_(Paraneurosoma)_ursulae	extinct
Aneurus_incertus	extinct
Aneurus_opertus	extinct
Angaronecta_longirostris	extinct
Angulochterus_quatrimaculatus	extinct
Angustachilus_longirostris	extinct
Aniferella_bostoni	extinct
Aniferella_sibirica	extinct
Anirma_longiclavalis	extinct
Anisops	extinct
Anisops_beskonakensis	extinct
Anisops_deichmuelleri	extinct
Anisops_heydeni	extinct
Anisops_privasensis	extinct
Annulaphis_mostovskini	extinct
Annulaphis_rasnitsyni	extinct
Annulaphis_zherichini	extinct
Anoeciinae	extinct
Anomaloscytina_incompleta	extinct
Anomaloscytina_metapteryx	extinct
Anomoscytina_anomala	extinct
Anosmus_spilopterus	extinct
Anthocephalinus_yafaensis	extinct
Anthocoridae	extinct
Anthoscytina_brevineura	extinct
Anthoscytina_daica	extinct
Anthoscytina_elegans	extinct
Anthoscytina_hongi	extinct
Anthoscytina_liugouensis	extinct
Anthoscytina_longa	extinct
Anthoscytina_parallelica	extinct
Anthoscytina_perpetua	extinct
Anthoscytina_pustulosus	extinct
Anthoscytina_reducta	extinct
Anthoscytina_trinervus	extinct
Anticedusa_dominicana	extinct
Antonaphis_affinis	extinct
Antonaphis_brachycera	extinct
Aonikenkissus_zamunerae	extinct
Aphalaridae	extinct
Aphana_atava	extinct
Aphana_lithoecia	extinct
Aphana_rotundipennis	extinct
