Species	Status	min_age	max_age
Gomphotherium	extinct	5.333	8.7
Tetralophodon	extinct	5.333	8.7
Zygolophodon	extinct	5.333	8.7
Stegodon	extinct	5.333	11.608
Elephas	extinct	0.0117	0.781
Stegodon	extinct	0.0117	0.781
Stegodon	extinct	2.588	3.6
Elephas	extinct	0.126	2.588
Elephas_maximus	extant	0.781	2.588
Stegolophodon	extinct	15.97	23.03
Elephas	extinct	0	0.126
Mammuthus	extinct	0.0117	0.126
Deinotheriidae	extinct	11.608	15.97
Deinotheriidae	extinct	5.333	11.608
Deinotheriidae	extinct	5.333	11.608
Stegodon	extinct	0.126	2.588
Elephas	extinct	0.126	2.588
Elephas	extinct	0.0117	2.588
Cuvieronius_tropicus	extinct	0.0117	2.588
Mammuthus	extinct	0.0117	2.588
Elephas	extinct	0.781	2.588
Elephas	extinct	0.781	2.588
Gomphotheriidae	extinct	13.6	15.97
Amebelodon	extinct	5.333	23.03
Tetrabelodon_osborni	extinct	13.6	15.97
Mammut_matthewi	extinct	4.9	10.3
Gomphotherium	extinct	4.9	10.3
Gomphotherium_obscurum	extinct	4.9	10.3
Gnathabelodon_thorpei	extinct	5.333	23.03
Gomphotheriidae	extinct	4.9	10.3
Amebelodon	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Amebelodon	extinct	10.3	13.6
Gomphotheriidae	extinct	10.3	13.6
Mammutidae	extinct	13.6	15.97
Amebelodon_fricki	extinct	4.9	10.3
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium_obscurum	extinct	10.3	13.6
Tetrabelodon_osborni	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	5.333	23.03
Gomphotherium	extinct	10.3	13.6
Amebelodon_fricki	extinct	4.9	10.3
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium	extinct	13.6	15.97
Gomphotheriidae	extinct	10.3	13.6
Rhynchotherium	extinct	4.9	10.3
Gomphotheriidae	extinct	10.3	13.6
Rhynchotherium	extinct	4.9	10.3
Gomphotheriidae	extinct	5.333	23.03
Gomphotheriidae	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Rhynchotherium	extinct	4.9	10.3
Gomphotheriidae	extinct	5.333	23.03
Gomphotherium	extinct	13.6	15.97
Gomphotheriidae	extinct	13.6	15.97
Gomphotherium	extinct	13.6	15.97
Gomphotherium	extinct	13.6	15.97
Eubelodon_morrilli	extinct	10.3	13.6
Gomphotheriidae	extinct	13.6	15.97
Gomphotheriidae	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	4.9	10.3
Tetrabelodon_osborni	extinct	13.6	15.97
Proboscidea	extinct	13.6	15.97
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	5.333	23.03
Tetrabelodon_osborni	extinct	13.6	15.97
Zygolophodon	extinct	13.6	15.97
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	10.3	13.6
Amebelodon_floridanus	extinct	4.9	10.3
Gomphotherium	extinct	13.6	15.97
Gomphotheriidae	extinct	4.9	10.3
Gomphotheriidae	extinct	13.6	15.97
Zygolophodon	extinct	13.6	15.97
Eubelodon_morrilli	extinct	10.3	13.6
Tetrabelodon_osborni	extinct	13.6	15.97
Gomphotherium	extinct	13.6	15.97
Tetrabelodon_osborni	extinct	13.6	15.97
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium	extinct	5.333	23.03
Proboscidea	extinct	13.6	15.97
Proboscidea	extinct	13.6	15.97
Serbelodon	extinct	10.3	13.6
Pediolophodon	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	10.3	13.6
Gomphotheriidae	extinct	13.6	15.97
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Gomphotherium	extinct	10.3	13.6
Proboscidea	extinct	10.3	15.97
Serbelodon_barbourensis	extinct	4.9	13.6
Gomphotherium	extinct	4.9	10.3
Proboscidea	extinct	5.333	23.03
Gomphotherium	extinct	10.3	13.6
Gomphotheriidae	extinct	4.9	10.3
Gomphotherium	extinct	13.6	15.97
Gomphotheriidae	extinct	5.333	23.03
Gomphotherium	extinct	13.6	15.97
Zygolophodon	extinct	13.6	15.97
Gomphotherium	extinct	10.3	13.6
Tetrabelodon_osborni	extinct	10.3	13.6
Gomphotherium	extinct	13.6	15.97
Platybelodon_loomisi	extinct	4.9	10.3
Gomphotherium	extinct	10.3	13.6
Tetrabelodon_osborni	extinct	13.6	15.97
Zygolophodon	extinct	13.6	15.97
Tetrabelodon_osborni	extinct	13.6	15.97
Zygolophodon	extinct	13.6	15.97
Gomphotherium	extinct	10.3	13.6
