Species	Status
Afrochoerodon_kisumuensis	extinct
Amahuacatherium_peruvium	extinct
Amebelodon	extinct
Amebelodon_britti	extinct
Amebelodon_floridanus	extinct
Amebelodon_fricki	extinct
Amebelodon_grandincisivus	extinct
Amebelodontinae	extinct
Anancinae	extinct
Anancus	extinct
Anancus_arvernensis	extinct
Anancus_defloccatus	extinct
Anancus_kenyensis	extinct
Anancus_orarius	extinct
Anancus_perimensis	extinct
Archaeobelodon	extinct
Archidiskodon_celebensis	extinct
Barytherioidea	extinct
Barytherium	extinct
Barytherium_grave	extinct
Chilgatherium_harrisi	extinct
Choerolophodon	extinct
Choerolophodon_anatolicus	extinct
Choerolophodon_pentelici	extinct
Cuvieronius	extinct
Cuvieronius_priestleyi	extinct
Cuvieronius_tropicus	extinct
Daouitherium_rebouli	extinct
Deinotheriidae	extinct
Deinotherium	extinct
Deinotherium_bozasi	extinct
Deinotherium_giganteum	extinct
Deinotherium_indicum	extinct
Dibelodon_andium	extinct
Dibelodon_praecursor	extinct
Elephantidae	extinct
Elephantinae	extinct
Elephantoidea	extinct
Elephas	extinct
Elephas_beyeri	extinct
Elephas_cypriotes	extinct
Elephas_falconeri	extinct
Elephas_maximus	extant
Elephas_maximus_indicus	extinct
Elephas_nawataensis	extinct
Eritherium_azzouzorum	extinct
Eritreum_melakeghebrekristosi	extinct
Eubelodon	extinct
Eubelodon_morrilli	extinct
Gnathabelodon_buckneri	extinct
Gnathabelodon_thorpei	extinct
Gomphotheriidae	extinct
Gomphotherium	extinct
Gomphotherium_angustidens	extinct
Gomphotherium_connexus	extinct
Gomphotherium_gratum	extinct
Gomphotherium_obscurum	extinct
Gomphotherium_shensiensis	extinct
Gomphotherium_simplicidens	extinct
Gomphotherium_wimani	extinct
Haplomastodon	extinct
Haplomastodon_(Aleamastodon)_guayasensis	extinct
Haplomastodon_chimborazi	extinct
Haplomastodon_waringi	extinct
Losodokodon_losodokius	extinct
Loxodonta	extinct
Loxodonta_africana	extant
Loxodonta_creutzburgi	extinct
Mammut	extinct
Mammut_americanum	extinct
Mammut_cosoensis	extinct
Mammut_furlongi	extinct
Mammut_matthewi	extinct
Mammut_raki	extinct
Mammuthus	extinct
Mammuthus_columbi	extinct
Mammuthus_exilis	extinct
Mammuthus_hayi	extinct
Mammuthus_lamarmorae	extinct
Mammuthus_meridionalis	extinct
Mammuthus_primigenius	extinct
Mammuthus_trogontherii	extinct
Mammutidae	extinct
Mastodon_bumiajuensis	extinct
Mastodon_proavus	extinct
Mastodon_spenceri	extinct
Mastodontidae	extinct
Moeritheriidae	extinct
Moeritherium	extinct
Moeritherium_chehbeurameuri	extinct
Moeritherium_gracile	extinct
Moeritherium_lyonsi	extinct
Moeritherium_trigonodon	extinct
Morrillia_barbouri	extinct
Neodesmostylus_primigenius	extinct
Notiomastodon	extinct
Numidotheriidae	extinct
Numidotherium	extinct
Numidotherium_koholense	extinct
Numidotherium_savagei	extinct
Omanitherium_dhofarensis	extinct
Palaeoloxodon_antiquus	extinct
Palaeoloxodon_mnaidriensis	extinct
Palaeoloxodon_naumanni	extinct
Palaeoloxodon_recki	extinct
Palaeomastodon	extinct
Palaeomastodon_beadnelli	extinct
Palaeomastodon_minor	extinct
Palaeomastodon_parvus	extinct
Palaeomastodon_wintoni	extinct
Palaeomastodontidae	extinct
Pediolophodon	extinct
Phiomia	extinct
Phiomia_major	extinct
Phiomia_serridens	extinct
Phosphatherium_escuilliei	extinct
Platybelodon	extinct
Platybelodon_barnumbrowni	extinct
Platybelodon_loomisi	extinct
Primelephas	extinct
Primelephas_korotorensis	extinct
Proboscidea	extinct
Prodeinotherium	extinct
Prodeinotherium_bavaricum	extinct
Prodeinotherium_hobleyi	extinct
Prodeinotherium_pentapotamiae	extinct
Protanancus	extinct
Rhynchotherium	extinct
Rhynchotherium_blicki	extinct
Rhynchotherium_falconeri	extinct
Serbelodon	extinct
Serbelodon_barbourensis	extinct
Serbelodon_burnhami	extinct
Serridentinus_mongoliensis	extinct
Sinomastodon	extinct
Stegodibelodon_schneideri	extinct
Stegodon	extinct
Stegodon_florensis	extinct
Stegodon_kaisensis	extinct
Stegodon_luzonensis	extinct
Stegodon_sompoensis	extinct
Stegodon_sondaari	extinct
Stegodon_sumbaensis	extinct
Stegodon_trigonocephalus	extinct
Stegodon_yuanmouensis	extinct
Stegodontidae	extinct
Stegolophodon	extinct
Stegomastodon	extinct
Stegomastodon_aftoniae	extinct
Stegomastodon_mirificus	extinct
Stegomastodon_platensis	extinct
Stegomastodon_primitivus	extinct
Stegomastodon_waringi	extinct
Stegotetrabelodon	extinct
Stegotetrabelodon_orbus	extinct
Synconolophus	extinct
Tetrabelodon_angustidens	extinct
Tetrabelodon_osborni	extinct
Tetralophodon	extinct
Tetralophodon_longirostris	extinct
Zygolophodon	extinct
Zygolophodon_aegyptensis	extinct
Zygolophodon_morotoensis	extinct
Zygolophodon_tapiroides	extinct
Zygolophodon_turicensis	extinct
