"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cetacea&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:26:29 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cetacea"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.112"
"Records Found","1922"
"Records Returned","1922"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"68135","occ","","","4868","n. gen. Georgiacetus n. sp. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289"
"137494","occ","","","11601","Argyrocetus joaquinensis","species","69897","","Argyrocetus joaquinensis","species","69897","Aquitanian","","23.03","20.44","4175"
"147937","occ","","","13063","n. gen. Pinocetus n. sp. polonicus","species","53140","","Pinocetus polonicus","species","53140","Langhian","","15.97","13.82","4344"
"147938","occ","","","13064","n. gen. Basiloterus n. sp. hussaini","species","53165","","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010"
"148079","occ","","","13078","n. gen. Sachalinocetus n. sp. cholmicus","species","63225","","Sachalinocetus cholmicus","species","63225","Early Miocene","Middle Miocene","23.03","11.608","4357"
"148335","occ","","","13090","n. gen. Praekogia n. sp. cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","4361"
"148353","occ","","","13092","Aulophyseter n. sp. rionegrensis","species","53106","","Aulophyseter rionegrensis","species","53106","Messinian","","7.246","5.333","4362"
"148356","occ","","","13096","Microcetus n. sp. sharkovi","species","53137","","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365"
"148358","occ","","","13098","n. gen. Mixocetus n. sp. elysius","species","64432","","Mixocetus elysius","species","64432","Tortonian","","11.62","7.246","10152"
"148360","occ","","","13100","n. gen. Austrosqualodon n. sp. trirhizodonta","species","63212","","Austrosqualodon trirhizodonta","species","63212","Duntroonian","","27.3","25.2","4368"
