"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=primates&taxon_reso=species"
"Access Time","Thu 2017-02-02 00:25:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","primates"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.117"
"Records Found","2898"
"Records Returned","2898"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138736","occ","","","11798","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11394"
"138831","occ","","","11800","Sivapithecus indicus","species","133688","","Sivapithecus indicus","species","133676","Late Miocene","","11.608","5.333","4199"
"150076","occ","","","13293","Pongo pygmaeus","species","183261","","Pongo pygmaeus","species","232338","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150955","occ","","","13473","Sivanasua himalayensis","species","101101","recombined as","Indraloris himalayensis","species","101101","Late Miocene","","11.608","5.333","6080"
"153694","occ","","","13630","Aotus n. sp. dindensis","species","143115","","Aotus dindensis","species","143115","Friasian","","16.3","15.5","29405"
"154616","occ","","","13738","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","6145"
"161532","occ","","","14243","Homo sapiens","species","83088","","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","6297"
"164076","occ","225","","14738","Purgatorius n. sp. janisae","species","51268","","Purgatorius janisae","species","51268","Puercan","","66","63.3","6294"
"164255","occ","","","14766","Purgatorius n. sp. unio","species","51270","","Purgatorius unio","species","51270","Puercan","","66","63.3","3489"
"164256","occ","259","","14766","Pandemonium n. sp. dis","species","49731","","Pandemonium dis","species","49731","Puercan","","66","63.3","3488"
"164283","occ","27401","","14768","Purgatorius n. sp. coracis","species","246570","","Purgatorius coracis","species","246570","Puercan","","66","63.3","42853"
"164551","occ","306","","14809","Purgatorius n. sp. titusi","species","51269","","Purgatorius titusi","species","51269","Puercan","","66","63.3","1150"
"164625","occ","317","","14816","Plesiolestes n. sp. nacimienti","species","50456","","Plesiolestes nacimienti","species","49619","Torrejonian","","63.3","61.7","1730"
"164626","occ","","","14816","Palaechthon torrejonius","species","49621","","Palaechthon torrejonius","species","51998","Torrejonian","","63.3","61.7","3488"
"164627","occ","","","14816","Palaechthon cf. woodi","species","49622","","Palaechthon woodi","species","49622","Torrejonian","","63.3","61.7","3649"
"164766","occ","","","14830","Draconodus apertus","species","45915","","Draconodus apertus","species","45915","Torrejonian","","63.3","61.7","3435"
"164767","occ","334","","14830","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","1730"
"164768","occ","335","","14830","Plesiolestes nacimienti","species","50456","","Plesiolestes nacimienti","species","49619","Torrejonian","","63.3","61.7","1730"
"164811","occ","341","","14833","Plesiolestes wilsoni","species","50459","","Plesiolestes wilsoni","species","52403","Torrejonian","","63.3","61.7","3649"
"164881","occ","","","14851","Palaechthon cf. alticuspis","species","49617","","Palaechthon alticuspis","species","49617","Torrejonian","Tiffanian","63.3","56.8","3096"
"164905","occ","","","14859","Palaechthon cf. woodi","species","49622","","Palaechthon woodi","species","49622","Torrejonian","","63.3","61.7","3649"
"164906","occ","343","","14859","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","1730"
"164924","occ","","","14865","Palaechthon n. sp. torrejonius","species","49621","","Palaechthon torrejonius","species","51998","Torrejonian","","63.3","61.7","3649"
"164959","occ","","","14868","Torrejonia cf. wilsoni","species","52403","recombined as","Plesiolestes wilsoni","species","52403","Torrejonian","","63.3","61.7","3375"
"165000","occ","349","","14873","Torrejonia wilsoni ?","species","52403","recombined as","Plesiolestes wilsoni","species","52403","Torrejonian","","63.3","61.7","3649"
"165001","occ","","","14873","Anasazia williamsoni","species","44028","","Anasazia williamsoni","species","44028","Torrejonian","","63.3","61.7","3488"
"165029","occ","","","14874","Elphidotarsius cf. florencae","species","46063","","Elphidotarsius florencae","species","46063","Torrejonian","","63.3","61.7","2947"
"165030","occ","","","14874","Pronothodectes cf. matthewi","species","50864","","Pronothodectes matthewi","species","50864","Torrejonian","","63.3","61.7","1635"
"165034","occ","","","14876","Pronothodectes cf. matthewi","species","50864","","Pronothodectes matthewi","species","50864","Torrejonian","","63.3","61.7","1635"
"165050","occ","","","14881","Pronothodectes cf. jepi","species","50863","","Pronothodectes jepi","species","50863","Torrejonian","","63.3","61.7","3716"
"165071","occ","","","14885","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","1985"
"165104","occ","","","14886","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","2905"
"165105","occ","","","14886","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","2905"
"165106","occ","","","14886","Picrodus silberlingi","species","50355","","Picrodus silberlingi","species","50355","Torrejonian","","63.3","61.7","2905"
"165107","occ","367","","14886","Palenochtha minor","species","49718","","Palenochtha minor","species","49618","Torrejonian","","63.3","61.7","1730"
"165108","occ","","","14886","Palenochtha n. sp. weissae","species","49719","","Palenochtha weissae","species","49719","Torrejonian","","63.3","61.7","2905"
"165109","occ","368","","14886","Plesiolestes problematicus","species","50457","","Plesiolestes problematicus","species","50457","Torrejonian","","63.3","61.7","1730"
"165128","occ","371","","14887","Plesiolestes nacimienti","species","50456","","Plesiolestes nacimienti","species","49619","Puercan","","66","63.3","6294"
"165164","occ","","","14893","Palaechthon woodi","species","49622","","Palaechthon woodi","species","49622","Torrejonian","","63.3","61.7","3649"
"165165","occ","376","","14893","Torrejonia wilsoni","species","52403","recombined as","Plesiolestes wilsoni","species","52403","Torrejonian","","63.3","61.7","6294"
"165195","occ","","","14894","Ignacius fremontensis","species","47352","","Ignacius fremontensis","species","50325","To3","","63.3","61.7","3087"
"165199","occ","","","14894","Pronothodectes matthewi","species","50864","","Pronothodectes matthewi","species","50864","To3","","63.3","61.7","3096"
"165213","occ","","","14896","Pronothodectes jepi","species","50863","","Pronothodectes jepi","species","50863","Torrejonian","","63.3","61.7","829"
"165245","occ","","","14898","Palenochtha minor","species","49718","","Palenochtha minor","species","49618","Torrejonian","","63.3","61.7","829"
"165248","occ","","","14898","Pronothodectes jepi","species","50863","","Pronothodectes jepi","species","50863","Torrejonian","","63.3","61.7","829"
"165249","occ","13598","","14898","Picrodus calgariensis","species","68067","","Picrodus calgariensis","species","68067","Torrejonian","","63.3","61.7","14679"
"165284","occ","","","14903","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","829"
"165294","occ","","","14904","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","829"
"165295","occ","","","14904","Paromomys cf. depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","829"
"165307","occ","","","14905","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","829"
"165308","occ","","","14905","Pronothodectes jepi","species","50863","","Pronothodectes jepi","species","50863","Torrejonian","","63.3","61.7","829"
"165340","occ","","","14906","n. gen. Palaechthon n. sp. alticuspis","species","49617","","Palaechthon alticuspis","species","49617","Torrejonian","","63.3","61.7","2953"
"165341","occ","","","14906","n. gen. Palenochtha n. sp. minor","species","49718","","Palenochtha minor","species","49618","Torrejonian","","63.3","61.7","2953"
"165342","occ","","","14906","Pronothodectes n. sp. matthewi","species","50864","","Pronothodectes matthewi","species","50864","Torrejonian","","63.3","61.7","2953"
"165343","occ","","","14906","Elphidotarsius n. sp. florencae","species","46063","","Elphidotarsius florencae","species","46063","Torrejonian","","63.3","61.7","2953"
"165344","occ","","","14906","Paromomys n. sp. maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","2953"
"165345","occ","","","14906","Paromomys n. sp. depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","2953"
"165346","occ","","","14906","Picrodus silberlingi","species","50355","","Picrodus silberlingi","species","50355","Torrejonian","","63.3","61.7","2953"
"165399","occ","","","14912","Plesiolestes n. sp. problematicus","species","50457","","Plesiolestes problematicus","species","50457","Torrejonian","","63.3","61.7","2953"
"165400","occ","","","14912","Palenochtha minor","species","49718","","Palenochtha minor","species","49618","Torrejonian","","63.3","61.7","2953"
"165401","occ","","","14912","Pronothodectes n. sp. jepi","species","50863","","Pronothodectes jepi","species","50863","Torrejonian","","63.3","61.7","2953"
"165402","occ","","","14912","Elphidotarsius cf. florencae","species","46063","","Elphidotarsius florencae","species","46063","Torrejonian","","63.3","61.7","2953"
"165403","occ","","","14912","Paromomys depressidens","species","50015","","Paromomys depressidens","species","50015","Torrejonian","","63.3","61.7","2953"
"165404","occ","","","14912","Ignacius cf. fremontensis","species","47352","","Ignacius fremontensis","species","50325","Torrejonian","","63.3","61.7","2953"
"165405","occ","","","14912","Picrodus silberlingi","species","50355","","Picrodus silberlingi","species","50355","Torrejonian","","63.3","61.7","2953"
"165406","occ","","","14912","Premnoides douglassi","species","50662","","Premnoides douglassi","species","50662","Torrejonian","","63.3","61.7","1730"
"165438","occ","","","14913","Picrodus n. sp. silberlingi","species","50355","","Picrodus silberlingi","species","50355","Torrejonian","","63.3","61.7","3144"
"165439","occ","","","14913","Paromomys maturus","species","50016","","Paromomys maturus","species","50016","Torrejonian","","63.3","61.7","3144"
"165440","occ","","","14913","Palaechthon alticuspis","species","49617","","Palaechthon alticuspis","species","49617","Torrejonian","","63.3","61.7","3144"
"165491","occ","","","14925","Ignacius fremontensis","species","47352","","Ignacius fremontensis","species","50325","Tiffanian","","61.7","56.8","1534"
"165492","occ","","","14925","Elphidotarsius cf. wightoni","species","46066","","Elphidotarsius wightoni","species","46066","Tiffanian","","61.7","56.8","1534"
"165497","occ","","","14926","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1375"
"165509","occ","456","","14928","Torrejonia sirokyi","species","52402","","Torrejonia sirokyi","species","50458","Ti3","","61.7","56.8","6294"
"165510","occ","","","14928","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Ti3","","61.7","56.8","3559"
"165522","occ","","","14929","Pronothodectes gaoi","species","50861","","Pronothodectes gaoi","species","50861","Tiffanian","","61.7","56.8","1537"
"165524","occ","","","14929","Elphidotarsius wightoni","species","46066","","Elphidotarsius wightoni","species","46066","Tiffanian","","61.7","56.8","1534"
"165525","occ","","","14929","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1534"
"165526","occ","10008","","14929","Carpodaptes cf. cygneus","species","44938","","Carpodaptes cygneus","species","44947","Tiffanian","","61.7","56.8","7175"
"165530","occ","","","14930","Carpodaptes hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","1534"
"165549","occ","","","14931","Plesiadapis rex","species","50441","","Plesiadapis rex","species","52194","Tiffanian","","61.7","56.8","1929"
"165551","occ","","","14931","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1929"
"165552","occ","10014","","14931","Carpodaptes cf. hazelae","species","44940","","Carpodaptes hazelae","species","44940","Tiffanian","","61.7","56.8","7175"
"165570","occ","","","14934","Ignacius frugivorus","species","47353","","Ignacius frugivorus","species","47353","Tiffanian","","61.7","56.8","1534"
"165572","occ","10011","","14934","Carpodaptes cf. stonleyi","species","44945","","Carpodaptes stonleyi","species","44945","Tiffanian","","61.7","56.8","7175"
"165576","occ","467","","14935","Chiromyoides n. sp. potior","species","45060","","Chiromyoides potior","species","45060","Tiffanian","","61.7","56.8","1634"
"165597","occ","","","14936","Chiromyoides n. sp. minor","species","45059","","Chiromyoides minor","species","45059","Tiffanian","","61.7","56.8","1731"
